SchoolID	SchoolName	non1	non2	non3	GovID	TownID	VillageID
815	أباظه القبلية                                                                                       	NULL	NULL	NULL	29	3761	71
816	أبوزيد خليفة                                                                                        	NULL	NULL	NULL	29	3761	72
817	أبوعرب                                                                                              	NULL	NULL	NULL	29	3761	73
818	التحويلة                                                                                            	NULL	NULL	NULL	29	3760	74
819	الجزيرة                                                                                             	NULL	NULL	NULL	29	3761	75
820	الجلاد                                                                                              	NULL	NULL	NULL	29	3761	76
821	الحمرا الهلباوى                                                                                     	NULL	NULL	NULL	29	3761	77
822	الحمراء الكبرى                                                                                      	NULL	NULL	NULL	29	3761	78
823	الستين                                                                                              	NULL	NULL	NULL	29	3761	79
824	العكريشه                                                                                            	NULL	NULL	NULL	29	3761	80
825	العمده الجديدة                                                                                      	NULL	NULL	NULL	29	3761	81
826	الغندور                                                                                             	NULL	NULL	NULL	29	3761	82
827	القادوسى                                                                                            	NULL	NULL	NULL	29	3761	83
828	اللوقين                                                                                             	NULL	NULL	NULL	29	3761	84
829	المعديه                                                                                             	NULL	NULL	NULL	29	3760	85
830	الهامي زكريا                                                                                        	NULL	NULL	NULL	29	3761	86
831	باباه الصغرى                                                                                        	NULL	NULL	NULL	29	3761	87
832	جمعه حميده                                                                                          	NULL	NULL	NULL	29	3761	88
833	حمد                                                                                                 	NULL	NULL	NULL	29	3761	89
834	حميده حسن                                                                                           	NULL	NULL	NULL	29	3761	90
835	سامون                                                                                               	NULL	NULL	NULL	29	3761	91
836	شرق البوغاز                                                                                         	NULL	NULL	NULL	29	3760	92
837	صيدناوى 8                                                                                           	NULL	NULL	NULL	29	3761	93
838	طعمه                                                                                                	NULL	NULL	NULL	29	3761	94
839	عاداه الشرقيه                                                                                       	NULL	NULL	NULL	29	3761	95
840	عزبة خليفه                                                                                          	NULL	NULL	NULL	29	3761	96
841	عزبة عامر                                                                                           	NULL	NULL	NULL	29	3761	97
842	عمرو بن العاص                                                                                       	NULL	NULL	NULL	29	3760	98
843	فريده                                                                                               	NULL	NULL	NULL	29	3761	99
844	قبوة الشامى                                                                                         	NULL	NULL	NULL	29	3761	100
845	قرية  6                                                                                             	NULL	NULL	NULL	29	3760	101
846	قرية 1                                                                                              	NULL	NULL	NULL	29	3760	102
847	قرية 7                                                                                              	NULL	NULL	NULL	29	3760	103
848	قرية 8                                                                                              	NULL	NULL	NULL	29	3760	104
849	قرية السلام                                                                                         	NULL	NULL	NULL	29	3760	105
850	كدوة الرويعه                                                                                        	NULL	NULL	NULL	29	3761	106
851	كوم طالوس 1                                                                                         	NULL	NULL	NULL	29	3760	107
852	كوم طالوس 2                                                                                         	NULL	NULL	NULL	29	3760	108
853	منشأة يونس                                                                                          	NULL	NULL	NULL	29	3761	109
854	منشية الأمل                                                                                         	NULL	NULL	NULL	29	3760	110
855	مياح                                                                                                	NULL	NULL	NULL	29	3760	111
856	 البرج فصل واحد                                                                                     	NULL	NULL	NULL	30	3763	436
857	ابو رصاص فصل واحد                                                                                   	NULL	NULL	NULL	30	3762	437
858	ابو سيف راضى / فصل واحد                                                                             	NULL	NULL	NULL	30	3763	438
859	ابو صالح صديقة الفتيات                                                                              	NULL	NULL	NULL	30	3763	439
860	ابو صالح فصل واحد                                                                                   	NULL	NULL	NULL	30	3763	440
861	ابو صير المشتركة 1                                                                                  	NULL	NULL	NULL	30	3762	441
862	ابو صير المشتركة 2 ف 1                                                                              	NULL	NULL	NULL	30	3762	442
863	ابو صير الملق المستقلة                                                                              	NULL	NULL	NULL	30	3762	443
864	احمد لطفى الصديقة للفتيات                                                                           	NULL	NULL	NULL	30	3763	444
865	ادريجة ف 1                                                                                          	NULL	NULL	NULL	30	3762	445
866	اطفال في ظروف صعبة                                                                                  	NULL	NULL	NULL	30	3763	446
867	اطواب 2 اساسي                                                                                       	NULL	NULL	NULL	30	3762	447
868	اطواب الاعدادية المشتركة                                                                            	NULL	NULL	NULL	30	3762	448
869	أطواب المجمعة 2                                                                                     	NULL	NULL	NULL	30	3762	449
870	اطواب المجمعه 1                                                                                     	NULL	NULL	NULL	30	3762	450
871	اطواب المشتركة                                                                                      	NULL	NULL	NULL	30	3762	451
872	اطواب تعليم اساسى 1                                                                                 	NULL	NULL	NULL	30	3762	452
873	اطواب سكة حديد فتيات                                                                                	NULL	NULL	NULL	30	3762	453
874	اطواب فصل واحد                                                                                      	NULL	NULL	NULL	30	3762	454
875	افوه (ص)                                                                                            	NULL	NULL	NULL	30	3762	455
876	افوه الجديده                                                                                        	NULL	NULL	NULL	30	3762	456
877	افوه ع.م (فصل واحد )                                                                                	NULL	NULL	NULL	30	3762	457
878	الاصلاح بقمن العروس                                                                                 	NULL	NULL	NULL	30	3762	458
879	البطل يوسف صديق الاعدادية المشتركة بنات                                                             	NULL	NULL	NULL	30	3762	459
880	الثورة ف1                                                                                           	NULL	NULL	NULL	30	3762	460
881	الجرو صديقة الفتيات                                                                                 	NULL	NULL	NULL	30	3763	461
882	الجرو فصل واحد                                                                                      	NULL	NULL	NULL	30	3763	462
883	الجلاء الابتدائيه المشتركه                                                                          	NULL	NULL	NULL	30	3762	463
884	الجمعيه الخيريه                                                                                     	NULL	NULL	NULL	30	3762	464
885	الجمعيه الشرعيه                                                                                     	NULL	NULL	NULL	30	3762	465
886	الحبايشة فصل واحد                                                                                   	NULL	NULL	NULL	30	3762	466
887	الحمام ف1                                                                                           	NULL	NULL	NULL	30	3763	467
888	الحومه الاعداديه                                                                                    	NULL	NULL	NULL	30	3762	468
889	الديابيه فصل واحد                                                                                   	NULL	NULL	NULL	30	3762	469
